state,age_group,count,population,crude_rate_100k
Alabama,1-4 years,1029,5469476,18.81
Alabama,10-14 years,955,7397945,12.91
Alabama,15-19 years,1479,7638677,19.36
Alabama,5-9 years,818,7009562,11.670000000000002
Alabama,< 1 year,375,1361419,27.54
Alaska,1-4 years,217,937213,23.150000000000002
Alaska,10-14 years,134,1209026,11.08
Alaska,15-19 years,243,1168656,20.790000000000003
Alaska,5-9 years,134,1166606,11.490000000000002
Alaska,< 1 year,74,239124,30.950000000000003
Arizona,1-4 years,1751,7848058,22.310000000000002
Arizona,10-14 years,1355,10094587,13.42
Arizona,15-19 years,2166,10095459,21.46
Arizona,5-9 years,1209,9792522,12.350000000000001
Arizona,< 1 year,514,1945031,26.430000000000003
Arkansas,1-4 years,696,3472397,20.040000000000003
Arkansas,10-14 years,595,4554311,13.06
Arkansas,15-19 years,894,4612721,19.380000000000003
Arkansas,5-9 years,529,4395513,12.040000000000001
Arkansas,< 1 year,209,863216,24.21
California,1-4 years,10065,45553226,22.1
California,10-14 years,8434,60367276,13.969999999999999
California,15-19 years,13367,60988865,21.92
California,5-9 years,7391,57817061,12.780000000000001
California,< 1 year,2673,11344110,23.560000000000002
Colorado,1-4 years,1286,6020046,21.36
Colorado,10-14 years,1062,7841777,13.540000000000001
Colorado,15-19 years,1807,7910284,22.840000000000003
Colorado,5-9 years,934,7622280,12.25
Colorado,< 1 year,343,1492902,22.980000000000004
Connecticut,1-4 years,832,3732294,22.290000000000003
Connecticut,10-14 years,842,5495849,15.32
Connecticut,15-19 years,1386,5663881,24.47
Connecticut,5-9 years,642,5050886,12.71
Connecticut,< 1 year,235,887330,26.480000000000004
Delaware,1-4 years,254,1000685,25.380000000000003
Delaware,10-14 years,212,1333659,15.9
Delaware,15-19 years,302,1411125,21.400000000000002
Delaware,5-9 years,174,1272824,13.67
Delaware,< 1 year,72,250143,28.78
District of Columbia,1-4 years,149,655965,22.71
District of Columbia,10-14 years,97,657751,14.75
District of Columbia,15-19 years,140,870744,16.080000000000002
District of Columbia,5-9 years,83,711036,11.670000000000002
District of Columbia,< 1 year,43,187842,22.89
Florida,1-4 years,4598,19531010,23.540000000000003
Florida,10-14 years,3864,26464457,14.600000000000001
Florida,15-19 years,6421,27141887,23.66
Florida,5-9 years,3393,24853995,13.65
Florida,< 1 year,1298,4872286,26.64
Georgia,1-4 years,2566,12030233,21.330000000000002
Georgia,10-14 years,2132,15873183,13.430000000000001
Georgia,15-19 years,3261,15860044,20.560000000000002
Georgia,5-9 years,1912,15251004,12.540000000000001
Georgia,< 1 year,700,2996855,23.36
Hawaii,1-4 years,303,1581086,19.16
Hawaii,10-14 years,251,1938369,12.950000000000001
Hawaii,15-19 years,393,1897963,20.71
Hawaii,5-9 years,202,1924686,10.5
Hawaii,< 1 year,94,405591,23.180000000000003
Idaho,1-4 years,467,2064110,22.62
Idaho,10-14 years,359,2734366,13.130000000000003
Idaho,15-19 years,616,2784229,22.12
Idaho,5-9 years,328,2642295,12.41
Idaho,< 1 year,106,509756,20.790000000000003
Illinois,1-4 years,3292,15118124,21.78
Illinois,10-14 years,2814,20314300,13.850000000000001
Illinois,15-19 years,4714,20552912,22.94
Illinois,5-9 years,2369,19386015,12.22
Illinois,< 1 year,891,3722515,23.94
Indiana,1-4 years,1647,7153917,23.02
Indiana,10-14 years,1274,9533841,13.36
Indiana,15-19 years,2090,9778770,21.37
Indiana,5-9 years,1118,9181922,12.18
Indiana,< 1 year,464,1766128,26.27
Iowa,1-4 years,835,3575940,23.35
Iowa,10-14 years,684,4785289,14.290000000000001
Iowa,15-19 years,1143,5091669,22.450000000000003
Iowa,5-9 years,598,4589946,13.030000000000001
Iowa,< 1 year,220,882147,24.94
Kansas,1-4 years,794,3564818,22.27
Kansas,10-14 years,637,4648026,13.700000000000001
Kansas,15-19 years,1076,4781351,22.5
Kansas,5-9 years,531,4528480,11.73
Kansas,< 1 year,231,883860,26.14
Kentucky,1-4 years,1187,5029496,23.6
Kentucky,10-14 years,970,6602154,14.690000000000001
Kentucky,15-19 years,1508,6699792,22.51
Kentucky,5-9 years,824,6386273,12.9
Kentucky,< 1 year,335,1256613,26.660000000000004
Louisiana,1-4 years,1131,5667613,19.96
Louisiana,10-14 years,944,7362307,12.82
Louisiana,15-19 years,1505,7540189,19.96
Louisiana,5-9 years,822,7096224,11.58
Louisiana,< 1 year,322,1419731,22.680000000000003
Maine,1-4 years,309,1254194,24.64
Maine,10-14 years,311,1881419,16.53
Maine,15-19 years,506,2008427,25.19
Maine,5-9 years,219,1698544,12.89
Maine,< 1 year,84,301535,27.860000000000003
Maryland,1-4 years,1285,6696858,19.19
Maryland,10-14 years,1126,9029000,12.47
Maryland,15-19 years,1914,9046383,21.16
Maryland,5-9 years,967,8544521,11.32
Maryland,< 1 year,412,1667470,24.71
Massachusetts,1-4 years,1559,6855880,22.740000000000002
Massachusetts,10-14 years,1327,9547360,13.9
Massachusetts,15-19 years,2307,10537941,21.89
Massachusetts,5-9 years,1112,8944247,12.43
Massachusetts,< 1 year,486,1695265,28.67
Michigan,1-4 years,2537,11239256,22.57
Michigan,10-14 years,2194,15899361,13.8
Michigan,15-19 years,3752,16468910,22.78
Michigan,5-9 years,1748,14824040,11.790000000000001
Michigan,< 1 year,791,2723190,29.05
Minnesota,1-4 years,1497,6364337,23.52
Minnesota,10-14 years,1190,8473091,14.040000000000001
Minnesota,15-19 years,2001,8600532,23.27
Minnesota,5-9 years,1044,8134262,12.830000000000002
Minnesota,< 1 year,412,1570360,26.24
Mississippi,1-4 years,527,2996593,17.59
Mississippi,10-14 years,495,4000675,12.370000000000001
Mississippi,15-19 years,734,4133405,17.76
Mississippi,5-9 years,419,3796934,11.040000000000001
Mississippi,< 1 year,179,741996,24.12
Missouri,1-4 years,1481,6903905,21.450000000000003
Missouri,10-14 years,1160,9282197,12.5
Missouri,15-19 years,1870,9524258,19.630000000000003
Missouri,5-9 years,1033,8840403,11.68
Missouri,< 1 year,476,1715710,27.74
Montana,1-4 years,232,1092655,21.230000000000004
Montana,10-14 years,212,1497266,14.16
Montana,15-19 years,372,1575496,23.61
Montana,5-9 years,184,1411941,13.030000000000001
Montana,< 1 year,56,268697,20.840000000000003
Nebraska,1-4 years,515,2342070,21.990000000000002
Nebraska,10-14 years,387,2984179,12.969999999999999
Nebraska,15-19 years,740,3070717,24.1
Nebraska,5-9 years,409,2921459,14
Nebraska,< 1 year,159,585005,27.180000000000003
Nevada,1-4 years,657,3221928,20.39
Nevada,10-14 years,528,4107600,12.850000000000001
Nevada,15-19 years,867,3865198,22.430000000000003
Nevada,5-9 years,473,4022790,11.76
Nevada,< 1 year,211,797109,26.47
New Hampshire,1-4 years,304,1293526,23.5
New Hampshire,10-14 years,302,1973487,15.3
New Hampshire,15-19 years,522,2108547,24.76
New Hampshire,5-9 years,248,1771669,14
New Hampshire,< 1 year,83,306258,27.1
New Jersey,1-4 years,2253,10070580,22.37
New Jersey,10-14 years,2156,13700943,15.740000000000002
New Jersey,15-19 years,3464,13405538,25.84
New Jersey,5-9 years,1741,13015487,13.380000000000003
New Jersey,< 1 year,675,2461972,27.42
New Mexico,1-4 years,438,2458592,17.82
New Mexico,10-14 years,414,3311369,12.5
New Mexico,15-19 years,720,3384754,21.27
New Mexico,5-9 years,367,3143697,11.670000000000002
New Mexico,< 1 year,160,606097,26.400000000000002
New York,1-4 years,4928,21659417,22.75
New York,10-14 years,4527,28734343,15.75
New York,15-19 years,7584,30230461,25.090000000000003
New York,5-9 years,3582,27394347,13.080000000000002
New York,< 1 year,1515,5499284,27.55
North Carolina,1-4 years,2327,10909376,21.330000000000002
North Carolina,10-14 years,1998,14407853,13.87
North Carolina,15-19 years,3062,14736669,20.78
North Carolina,5-9 years,1684,13869469,12.14
North Carolina,< 1 year,686,2726561,25.16
North Dakota,1-4 years,157,836898,18.76
North Dakota,10-14 years,127,1030719,12.32
North Dakota,15-19 years,239,1168114,20.46
North Dakota,5-9 years,121,1017872,11.89
North Dakota,< 1 year,44,212671,20.69
Ohio,1-4 years,3005,13214951,22.740000000000002
Ohio,10-14 years,2477,18150108,13.65
Ohio,15-19 years,4057,18587275,21.830000000000002
Ohio,5-9 years,2024,17175827,11.780000000000001
Ohio,< 1 year,850,3238172,26.25
Oklahoma,1-4 years,1018,4644900,21.92
Oklahoma,10-14 years,736,5972495,12.32
Oklahoma,15-19 years,1246,6135620,20.310000000000002
Oklahoma,5-9 years,759,5843456,12.990000000000002
Oklahoma,< 1 year,283,1160149,24.39
Oregon,1-4 years,978,4209979,23.230000000000004
Oregon,10-14 years,775,5655555,13.700000000000001
Oregon,15-19 years,1349,5791934,23.290000000000003
Oregon,5-9 years,711,5412215,13.14
Oregon,< 1 year,297,1028076,28.89
Pennsylvania,1-4 years,3241,13237901,24.480000000000004
Pennsylvania,10-14 years,2650,18713236,14.16
Pennsylvania,15-19 years,4705,20112434,23.39
Pennsylvania,5-9 years,2286,17378898,13.15
Pennsylvania,< 1 year,1000,3241258,30.85
Rhode Island,1-4 years,236,1081993,21.810000000000002
Rhode Island,10-14 years,233,1521467,15.31
Rhode Island,15-19 years,359,1794833,20
Rhode Island,5-9 years,205,1420502,14.430000000000001
Rhode Island,< 1 year,76,263285,28.87
South Carolina,1-4 years,1006,5226958,19.25
South Carolina,10-14 years,893,7014106,12.73
South Carolina,15-19 years,1340,7346855,18.240000000000002
South Carolina,5-9 years,732,6693916,10.940000000000001
South Carolina,< 1 year,287,1301660,22.05
South Dakota,1-4 years,184,962224,19.12
South Dakota,10-14 years,148,1201910,12.31
South Dakota,15-19 years,237,1242334,19.080000000000002
South Dakota,5-9 years,132,1185915,11.13
South Dakota,< 1 year,65,241934,26.87
Tennessee,1-4 years,1626,7296317,22.290000000000003
Tennessee,10-14 years,1306,9701894,13.46
Tennessee,15-19 years,1983,9750953,20.340000000000003
Tennessee,5-9 years,1071,9318316,11.490000000000002
Tennessee,< 1 year,472,1816912,25.980000000000004
Texas,1-4 years,7991,34339586,23.27
Texas,10-14 years,6467,43696950,14.8
Texas,15-19 years,9702,43234905,22.44
Texas,5-9 years,5888,42752621,13.77
Texas,< 1 year,2457,8575488,28.650000000000002
Utah,1-4 years,999,4441432,22.490000000000002
Utah,10-14 years,785,5325797,14.740000000000002
Utah,15-19 years,1290,5284552,24.41
Utah,5-9 years,675,5408434,12.48
Utah,< 1 year,323,1127988,28.64
Vermont,1-4 years,121,587023,20.61
Vermont,10-14 years,129,902253,14.3
Vermont,15-19 years,250,1058474,23.62
Vermont,5-9 years,112,803641,13.940000000000001
Vermont,< 1 year,38,139410,27.260000000000005
Virginia,1-4 years,1842,9152502,20.130000000000003
Virginia,10-14 years,1489,12010591,12.4
Virginia,15-19 years,2354,12414081,18.96
Virginia,5-9 years,1305,11544105,11.3
Virginia,< 1 year,550,2292551,23.990000000000002
Washington,1-4 years,1829,7867141,23.25
Washington,10-14 years,1526,10327779,14.780000000000001
Washington,15-19 years,2478,10378779,23.880000000000003
Washington,5-9 years,1245,9996474,12.450000000000001
Washington,< 1 year,521,1949932,26.72
West Virginia,1-4 years,384,1851405,20.740000000000002
West Virginia,10-14 years,349,2539200,13.740000000000002
West Virginia,15-19 years,620,2702062,22.950000000000003
West Virginia,5-9 years,312,2397871,13.01
West Virginia,< 1 year,134,460029,29.130000000000003
Wisconsin,1-4 years,1468,6332140,23.180000000000003
Wisconsin,10-14 years,1164,8870911,13.12
Wisconsin,15-19 years,2138,9269366,23.07
Wisconsin,5-9 years,1018,8309592,12.25
Wisconsin,< 1 year,398,1547673,25.72
Wyoming,1-4 years,139,651740,21.330000000000002
Wyoming,10-14 years,97,861083,11.26
Wyoming,15-19 years,184,891664,20.64
Wyoming,5-9 years,98,830117,11.81
Wyoming,< 1 year,35,161549,21.67
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
